WELL_ID,FLUID_ID,VOLUME,CONC,RATE,SAND_ID,CUM_FLUID,Interpreter
1004,A,18000,0,80,,7333.333333,kjw
1004,A,0,0,0,,7761.904762,kjw
1005,A,1000,0,15,,0,kjw
1005,S,2000,0,15,,23.80952381,kjw
1005,A,20000,0,100,,71.42857143,kjw
1005,A,12000,0.25,100,R,547.6190476,kjw
1005,A,16000,0.5,100,R,833.3333333,kjw
1005,A,20000,0.75,100,R,1214.285714,kjw
1005,A,23000,1,100,R,1690.47619,kjw
1005,A,18000,1.5,100,R,2238.095238,kjw
1005,A,12000,2,100,R,2666.666667,kjw
1005,A,6000,0,100,,2952.380952,kjw
1005,A,10000,0.25,100,Q,3095.238095,kjw
1005,A,12000,0.5,100,Q,3333.333333,kjw
1005,A,16000,0.75,100,Q,3619.047619,kjw
1005,A,20000,1,100,Q,4000,kjw
1005,A,16000,1.25,100,Q,4476.190476,kjw
1005,A,6000,0.5,100,Q,4857.142857,kjw
1005,A,10000,1.4,100,Q,5000,kjw
1005,A,6000,0.5,100,Q,5238.095238,kjw
1005,A,10000,1.6,100,Q,5380.952381,kjw
1005,A,6000,0.5,100,Q,5619.047619,kjw
1005,A,10000,1.75,100,Q,5761.904762,kjw
1005,A,6000,0.5,100,Q,6000,kjw
1005,A,10000,2,100,Q,6142.857143,kjw
1005,D,8000,0.5,100,ES,6380.952381,kjw
1005,D,10000,1,100,ES,6571.428571,kjw
1005,D,14000,1.5,100,ES,6809.52381,kjw
1005,D,12500,2,100,ES,7142.857143,kjw
1005,A,15000,0,100,,7440.47619,kjw
1005,A,0,0,0,,7797.619048,kjw
1006,A,1000,0,15,,0,kjw
1006,S,1000,0,20,,23.80952381,kjw
1006,A,30000,0,80,,47.61904762,kjw
1006,A,20000,0.5,80,R,761.9047619,kjw
1006,A,18000,0.75,80,R,1238.095238,kjw
1006,A,15000,1.25,80,R,1666.666667,kjw
1006,A,36000,0.25,80,Q,2023.809524,kjw
1006,A,30000,0.5,80,Q,2880.952381,kjw
1006,A,25000,0.75,80,Q,3595.238095,kjw
1006,A,20000,1,80,Q,4190.47619,kjw
1006,A,20000,1.25,80,Q,4666.666667,kjw
1006,D,18000,1.5,80,Q,5142.857143,kjw
1006,D,18000,2,80,Q,5571.428571,kjw
1006,D,19000,2.5,80,Q,6000,kjw
1006,D,19000,3,80,Q,6452.380952,kjw
1006,D,19000,3.3,80,Q,6904.761905,kjw
1006,D,19000,3.6,80,Q,7357.142857,kjw
1006,D,19000,4,80,Q,7809.52381,kjw
1006,A,16000,0,80,,8261.904762,kjw
1006,A,0,0,0,,8642.857143,kjw
1007,A,1000,0,15,,0,kjw
1007,S,2000,0,15,,23.80952381,kjw
1007,A,20000,0,100,,71.42857143,kjw
1007,A,12000,0.25,100,R,547.6190476,kjw
1007,A,16000,0.5,100,R,833.3333333,kjw
1007,A,20000,0.75,100,R,1214.285714,kjw
1007,A,23000,1,100,R,1690.47619,kjw
1007,A,18000,1.5,100,R,2238.095238,kjw
1007,A,12000,2,100,R,2666.666667,kjw
1007,A,6000,0,100,,2952.380952,kjw
1007,A,10000,0.25,100,Q,3095.238095,kjw
1007,A,12000,0.5,100,Q,3333.333333,kjw
1007,A,16000,0.75,100,Q,3619.047619,kjw
1007,A,20000,1,100,Q,4000,kjw
1007,A,16000,1.25,100,Q,4476.190476,kjw
1007,A,6000,0.5,100,Q,4857.142857,kjw
1007,A,10000,1.4,100,Q,5000,kjw
1007,A,6000,0.5,100,Q,5238.095238,kjw
1007,A,10000,1.6,100,Q,5380.952381,kjw
1007,A,6000,0.5,100,Q,5619.047619,kjw
1007,A,10000,1.75,100,Q,5761.904762,kjw
1007,A,6000,0.5,100,Q,6000,kjw
1007,A,10000,2,100,Q,6142.857143,kjw
1007,D,8000,0.5,100,ES,6380.952381,kjw
1007,D,10000,1,100,ES,6571.428571,kjw
1007,D,14000,1.5,100,ES,6809.52381,kjw
1007,D,12500,2,100,ES,7142.857143,kjw
1007,A,15000,0,100,,7440.47619,kjw
1007,A,0,0,0,,7797.619048,kjw
1008,A,1000,0,15,,0,kjw
1008,S,1000,0,20,,23.80952381,kjw
1008,A,40000,0,80,,47.61904762,kjw
1008,A,20000,0.5,80,R,1000,kjw
1008,A,20000,0.75,80,R,1476.190476,kjw
1008,A,20000,1.25,80,R,1952.380952,kjw
1008,A,20000,0.25,80,Q,2428.571429,kjw
1008,A,25000,0.5,80,Q,2904.761905,kjw
1008,A,25000,0.75,80,Q,3500,kjw
1008,A,25000,1,80,Q,4095.238095,kjw
1008,A,15000,1.25,80,Q,4690.47619,kjw
1008,A,17500,1.5,80,Q,5047.619048,kjw
1008,D,18000,2,80,Q,5464.285714,kjw
1008,D,18000,2.5,80,Q,5892.857143,kjw
1008,D,20000,3,80,Q,6321.428571,kjw
1008,D,20000,3.5,80,Q,6797.619048,kjw
1008,D,20000,4,80,Q,7273.809524,kjw
1008,D,20000,4.5,80,Q,7750,kjw
1008,D,20000,5,80,Q,8226.190476,kjw
1008,D,20500,5.5,80,Q,8702.380952,kjw
1008,A,16000,0,80,,9190.47619,kjw
1008,A,0,0,0,,9571.428571,kjw
1009,A,1000,0,15,,0,kjw
1009,S,1000,0,20,,23.80952381,kjw
1009,A,40000,0,80,,47.61904762,kjw
1009,A,20000,0.5,80,R,1000,kjw
1009,A,20000,0.75,80,R,1476.190476,kjw
1009,A,20000,1.25,80,R,1952.380952,kjw
1009,A,20000,0.25,80,Q,2428.571429,kjw
1009,A,25000,0.5,80,Q,2904.761905,kjw
1009,A,25000,0.75,80,Q,3500,kjw
1009,A,25000,1,80,Q,4095.238095,kjw
1009,A,15000,1.25,80,Q,4690.47619,kjw
1009,A,17500,1.5,80,Q,5047.619048,kjw
1009,D,18000,2,80,Q,5464.285714,kjw
1009,D,18000,2.5,80,Q,5892.857143,kjw
1009,D,20000,3,80,Q,6321.428571,kjw
1009,D,20000,3.5,80,Q,6797.619048,kjw
1009,D,20000,4,80,Q,7273.809524,kjw
1009,D,20000,4.5,80,Q,7750,kjw
1009,D,20000,5,80,Q,8226.190476,kjw
1009,D,20500,5.5,80,Q,8702.380952,kjw
1009,A,16000,0,80,,9190.47619,kjw
1009,A,0,0,0,,9571.428571,kjw
1010,A,1000,0,15,,0,kjw
1010,A,65000,0,100,,23.80952381,kjw
1010,A,26000,0.25,100,R,1571.428571,kjw
1010,A,26500,0.5,100,R,2190.47619,kjw
1010,A,26500,0.75,100,R,2821.428571,kjw
1010,A,40000,0.25,100,Q,3452.380952,kjw
1010,A,40000,0.5,100,Q,4404.761905,kjw
1010,A,40000,0.75,100,Q,5357.142857,kjw
1010,A,30000,1,100,Q,6309.52381,kjw
1010,A,17000,1.25,100,Q,7023.809524,kjw
1010,D,17000,1.5,100,Q,7428.571429,kjw
1010,D,17000,2,100,Q,7833.333333,kjw
1010,D,17000,2.5,100,Q,8238.095238,kjw
1010,D,16000,3,100,Q,8642.857143,kjw
1010,A,10890.8688,0,100,,9023.809524,kjw
